id,grad_year,"degree","exp_level","career_field"
515,0,"0","Healthcare","Experienced (Non-Managerial)"
516,2012,"SH","Legal","Student"
517,2008,"Associate of Arts","Beauty and Spa","Entry Level"
518,1999,"Bachelor of Arts","Healthcare","Manager"
519,1990,"High School Diploma","Accounting and Finance","Experienced (Non-Managerial)"
520,0,"0","Dental","Experienced (Non-Managerial)"
521,0,"0","Customer Service","Experienced (Non-Managerial)"
522,2008,"Bachelor of Science","Nursing","Student"
523,1963,"High School Diploma","Administrative Support","Entry Level"
524,0,"0","Construction","Experienced (Non-Managerial)"
525,2008,"High School Diploma","Trades","Student"
526,2015,"Associate of Science","Healthcare","Student"
527,2008,"Associate of Applied Science","Administrative Support","Entry Level"
528,0,"Bachelor of Arts","Sales","Executive"
529,0,"Bachelor of Science","Customer Service","Entry Level"
530,11,"High School Diploma","Construction","Student"
531,0,"0","0","Student"
532,0,"Diploma","Customer Service","Manager"
533,0,"0","0","Entry Level"
534,2008,"Red Seal","Trades","Experienced (Non-Managerial)"
535,2007,"","Construction","Experienced (Non-Managerial)"
536,1985,"High School Diploma","0","Manager"
537,2011,"","Military","Experienced (Non-Managerial)"
538,2010,"Graduated Trade School","Installation and Maintenance","Experienced (Non-Managerial)"
539,1982,"","Management","Manager"
540,2005,"Bachelor of Arts","0","0"
541,0,"Associate of Applied Science","Government","Experienced (Non-Managerial)"
542,1997,"GED","Retail","Entry Level"
543,2013,"Certification","Human Resources","Experienced (Non-Managerial)"
544,2014,"Bachelor of Science","Construction","Manager"
545,2002,"","Customer Service","Experienced (Non-Managerial)"
546,1969,"basic and advanced welding cert","Manufacturing and Production","Experienced (Non-Managerial)"
547,2011,"Master of Arts","Management","Experienced (Non-Managerial)"
548,2009,"High School Diploma","Nursing","Student"
549,2008,"High School Diploma","Food and Beverage","Manager"
550,2012,"Bachelors of Interdisciplinary Studies","Marketing, Advertising and PR","Entry Level"
551,2012,"Diploma","Healthcare","Experienced (Non-Managerial)"
552,2015,"High School Diploma","Banking and Financial Services","Entry Level"
553,2015,"BBA","Marketing, Advertising and PR","Student"
554,1995,"High School Diploma","Trades","Experienced (Non-Managerial)"
555,2018,"Bachelor of Science","Law Enforcement and Security","Entry Level"
556,0,"Cosmetology Certificate","Community and Public Service","Experienced (Non-Managerial)"
557,1991,"Bachelor of Science","Community and Public Service","Experienced (Non-Managerial)"
558,0,"still going","Retail","Experienced (Non-Managerial)"
559,2014,"","Sales","Student"
560,0,"0","Retail","Experienced (Non-Managerial)"
561,1995,"Associate of Science","Dental","0"
562,2008,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
563,2010,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
564,0,"Bachelor of Science","Nursing","Entry Level"
565,2008,"High School Diploma","Retail","Experienced (Non-Managerial)"
566,0,"Associate of Arts","Engineering","Entry Level"
567,0,"J.D.","Community and Public Service","Experienced (Non-Managerial)"
568,2012,"High School Diploma","Customer Service","Entry Level"
569,2013,"Graduate Program","Nursing","Entry Level"
570,1991,"Bachelor of Science","Marketing, Advertising and PR","Manager"
571,2006,"","Retail","Manager"
572,0,"","Performing Arts","Experienced (Non-Managerial)"
573,0,"","Retail","Experienced (Non-Managerial)"
574,1988,"Bachelor of Arts","Childcare","Manager"
575,2005,"","Human Resources","Experienced (Non-Managerial)"
576,2013,"","Accounting and Finance","Experienced (Non-Managerial)"
577,0,"Bachelor of Science","0","Experienced (Non-Managerial)"
578,0,"0","Manufacturing and Production","Experienced (Non-Managerial)"
579,0,"0","Customer Service","Experienced (Non-Managerial)"
580,1976,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
581,0,"0","Construction","Experienced (Non-Managerial)"
582,2011,"High School Diploma","Manufacturing and Production","Entry Level"
583,1986,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
584,0,"","Accounting and Finance","Experienced (Non-Managerial)"
585,2011,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
586,1989,"High School Diploma","Healthcare","Entry Level"
587,93,"Associate of Arts","Green Jobs","Entry Level"
588,2013,"Bachelor of Science","Accounting and Finance","Experienced (Non-Managerial)"
589,1992,"High School Diploma","Management","Manager"
590,0,"0","0","Experienced (Non-Managerial)"
591,2017,"","Engineering","Student"
592,0,"0","Administrative Support","Experienced (Non-Managerial)"
593,2014,"High School Diploma","0","Student"
594,2007,"Bachelor of Arts","Sales","Manager"
595,0,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
596,1998,"GCSE","Fitness and Recreation","Manager"
597,2006,"High School Diploma","Law Enforcement and Security","Experienced (Non-Managerial)"
598,0,"","Transportation and Distribution","Entry Level"
599,2017,"Bachelor of Arts","Food and Beverage","Student"
600,2010,"High School Diploma","Accounting and Finance","Student"
601,1987,"GED","Beauty and Spa","Manager"
602,2013,"","Science","Entry Level"
603,2011,"Barbers Licensing","Personal Services","Experienced (Non-Managerial)"
604,0,"0","Management","Entry Level"
605,0,"Associate of Science","Sales","Experienced (Non-Managerial)"
606,0,"","Food and Beverage","Experienced (Non-Managerial)"
607,2006,"Master of Technology","Engineering","Experienced (Non-Managerial)"
608,0,"0","Administrative Support","Experienced (Non-Managerial)"
609,2009,"High School Diploma","Business","0"
610,0,"QA Software Certificarion","Construction","Experienced (Non-Managerial)"
611,0,"","Healthcare","Experienced (Non-Managerial)"
612,0,"0","Accounting and Finance","Experienced (Non-Managerial)"
613,2017,"Working on Bachelors Degree","Travel and Hospitality","Student"
614,2016,"","Customer Service","Student"
615,1999,"High School Diploma","Trades","Experienced (Non-Managerial)"
616,1990,"","Construction","Experienced (Non-Managerial)"
617,0,"0","0","Experienced (Non-Managerial)"
618,0,"MBA","Computers and Technology","Experienced (Non-Managerial)"
619,2013,"High School Diploma","Engineering","Student"
620,2015,"Currently Perusing","Accounting and Finance","Experienced (Non-Managerial)"
621,2004,"","Sales","Entry Level"
622,1998,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
623,1958,"Bachelor of Science","Telecommunications and Wireless","Experienced (Non-Managerial)"
624,0,"Associate of Science","Retail","Experienced (Non-Managerial)"
625,12,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
626,2013,"Bachelor of Science","Administrative Support","Experienced (Non-Managerial)"
627,2004,"","Food and Beverage","Executive"
628,0,"0","Installation and Maintenance","Experienced (Non-Managerial)"
629,2014,"B.S.","Administrative Support","Entry Level"
630,2001,"Bachelor of Arts","Sales","Executive"
631,0,"0","Administrative Support","Entry Level"
632,2017,"","Customer Service","Student"
633,0,"Domingos Ramos, Praia , Cape Verde  June 2005- High school","Customer Service","Experienced (Non-Managerial)"
634,0,"","Performing Arts","Entry Level"
635,2007,"High School Diploma","Nursing","Experienced (Non-Managerial)"
636,2010,"None","Education and Training","Experienced (Non-Managerial)"
637,0,"Bachelor of Nursing","Nursing","Entry Level"
638,2010,"High School Diploma","Food and Beverage","Entry Level"
639,2014,"Associate of Applied Science","Architecture","Student"
640,2014,"","Trades","Student"
641,2000,"","Marketing, Advertising and PR","Experienced (Non-Managerial)"
642,0,"0","Construction","Manager"
643,2011,"High School Diploma","Retail","Student"
644,2003,"Bachelor of Science","Science","Experienced (Non-Managerial)"
645,2001,"High School Diploma","Dental","Student"
646,2013,"B.S","Computers and Technology","Entry Level"
647,1987,"High School Diploma","Trades","Manager"
648,1992,"","0","Manager"
649,1974,"High School Diploma","Construction","Experienced (Non-Managerial)"
650,2013,"","0","0"
651,2004,"","0","Manager"
652,2013,"","0","0"
653,2014,"Bachelor of Science","Nursing","Student"
654,1,"GED","Manufacturing and Production","Experienced (Non-Managerial)"
655,0,"0","Trades","Experienced (Non-Managerial)"
656,2010,"Certification","Trades","Manager"
657,2013,"Associate of Arts","Customer Service","Student"
658,0,"0","Banking and Financial Services","Experienced (Non-Managerial)"
659,2002,"","0","Entry Level"
660,0,"Patient Administration Specialist","Healthcare","Entry Level"
661,2014,"High School Diploma","Personal Services","Student"
662,0,"0","0","Experienced (Non-Managerial)"
663,1969,"","Manufacturing and Production","Manager"
664,0,"","Insurance","Experienced (Non-Managerial)"
665,0,"Bachelors of Science","Healthcare","Experienced (Non-Managerial)"
666,2000,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
667,2012,"","Sales","Student"
668,0,"Bachelor of Arts","0","Entry Level"
669,2014,"Bachelors","Manufacturing and Production","Experienced (Non-Managerial)"
670,0,"0","0","Entry Level"
671,1970,"High School Diploma","Healthcare","Experienced (Non-Managerial)"
672,0,"Bachelor of Arts","0","Experienced (Non-Managerial)"
673,1995,"Master of Science","Healthcare","Experienced (Non-Managerial)"
674,1990,"Associate of Arts","Law Enforcement and Security","Manager"
675,2013,"Bachelor of Science","Customer Service","Student"
676,2009,"High School Diploma","Sales","Student"
677,2011,"","Nursing","Experienced (Non-Managerial)"
678,2013,"BSN","Healthcare","Student"
679,2005,"","Construction","Experienced (Non-Managerial)"
680,2011,"","Construction","Experienced (Non-Managerial)"
681,1999,"GCSE","Food and Beverage","0"
682,1998,"Master of Arts","Education and Training","Experienced (Non-Managerial)"
683,0,"","Food and Beverage","Student"
684,0,"0","0","Student"
685,1979,"Bachelor of Science","0","0"
686,0,"","Nursing","Experienced (Non-Managerial)"
687,1997,"GCSE","Administrative Support","Entry Level"
688,2001,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
689,1988,"Certificate of Completion","Healthcare","Experienced (Non-Managerial)"
690,2007,"Associate of Science","Healthcare","Student"
691,2000,"Bachelor of Arts","Management","Manager"
692,2011,"certificate","Installation and Maintenance","Entry Level"
693,2011,"Bachelor of Arts","0","0"
694,0,"0","Administrative Support","Experienced (Non-Managerial)"
695,2,"FBLA       2hrs/wk Elf Louise volunteer     20hrs/yr 10-12   National Honor Society      2hrs/wk Interact Club       2hrs/wk College   Intramurals basketball      10hrs/yr Epic church group      1hr/wk Food Bank volunteer      10hrs/yr Honors & Awards ","Sports","Student"
696,1998,"High School Diploma","Manufacturing and Production","Entry Level"
697,1993,"Bachelor of Science","Nursing","Manager"
698,0,"","Architecture","Student"
699,2007,"High School Diploma","Childcare","Student"
700,2002,"Bachelor of Arts","Transportation and Distribution","Manager"
701,0,"","Customer Service","Experienced (Non-Managerial)"
702,2009,"","Performing Arts","Experienced (Non-Managerial)"
703,0,"Bachelor of Arts","0","Student"
704,2,"Associate of Applied Science","Beauty and Spa","Executive"
705,2009,"Diploma","Nursing","Experienced (Non-Managerial)"
706,0,"Associate of Arts","Psychology","Student"
707,12,"High School Diploma","0","0"
708,0,"","Business","Experienced (Non-Managerial)"
709,1978,"High School Diploma","0","0"
710,2013,"BA","Accounting and Finance","Entry Level"
711,2004,"GED","Healthcare","Experienced (Non-Managerial)"
712,2007,"","Trades","Experienced (Non-Managerial)"
713,2011,"High School Diploma","0","Entry Level"
714,0,"","Healthcare","Experienced (Non-Managerial)"
715,2007,"Select One","Trades","Entry Level"
716,2013,"Master of Science","Library","Executive"
717,2012,"Bachelors of Business Administration","Military","Experienced (Non-Managerial)"
718,0,"0","0","0"
719,2013,"High School Diploma","Healthcare","Entry Level"
720,2011,"High School Diploma","Performing Arts","Student"
721,0,"0","0","Student"
722,1979,"GCSE","Engineering","Experienced (Non-Managerial)"
723,2012,"Emergency Medical Technician ","Accounting and Finance","Experienced (Non-Managerial)"
724,1972,"Bachelor of Arts","0","Experienced (Non-Managerial)"
725,2015,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
726,2010,"Bachelor of Environmental Engineering and Science","Administrative Support","Entry Level"
727,1979,"High School Diploma","0","0"
728,1972,"High School Diploma","0","Entry Level"
729,2010,"Journeyman lineman","Trades","Experienced (Non-Managerial)"
730,1991,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
731,2015,"","Trades","Experienced (Non-Managerial)"
732,2012,"Associate of Arts","Entertainment and Media","Entry Level"
733,0,"Bachelor of Science","0","0"
734,1984,"Bachelor of Science","Education and Training","Experienced (Non-Managerial)"
735,2012,"High School Diploma","Law Enforcement and Security","Experienced (Non-Managerial)"
736,0,"","Education and Training","Student"
737,0,"0","Sales","Experienced (Non-Managerial)"
738,2007,"Diploma of Business","Administrative Support","Experienced (Non-Managerial)"
739,2008,"high school diploma","Healthcare","Experienced (Non-Managerial)"
740,1988,"Master Human Services","Healthcare","Experienced (Non-Managerial)"
741,0,"0","Law Enforcement and Security","Student"
742,2010,"General Studies","Nursing","Entry Level"
743,2012,"Bachelor of Arts","Community and Public Service","Student"
744,1979,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
745,0,"2 years completed of CGA program","Customer Service","Experienced (Non-Managerial)"
746,1984,"Bachelor of Science","Pharmacy","Manager"
747,1976,"","Administrative Support","Experienced (Non-Managerial)"
748,1994,"HAZWOPER 40 hour training  Michigan State HAZMAT 40 hour training  Six Sigma: DMAIC Methodology  Saginaw Valley State University Leadership Training","Manufacturing and Production","Manager"
